_sOO32rszOs,,"Pc Rent Occurred Live    : Dr Pradip Mohanta - 4th May, 2024",This surgery video is only for education purpose.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8nxFWIaQ4Wk,,Yamane technique in Marfan syndrome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YGlExHe6m-8,,G 5 black topical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLNH7D9HroI,,1 SP CARDIAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NECsFyE2XVI,,14-Jun-23,Sirsasana and cycle at 56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4Z3N50e1pNA,,30-Jan-23,Management of Desciment membrane Detachment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iUhUCj5c-6U,,9-Aug-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_AFb7j60DAY,,Parivarta Trikonasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mg5Vop-KvQ8,,Tadasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t5td9-8A5HU,,mandalasan,Mandalasan is advanced yogasan,odeyar.mahesh@rediff.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bjLPMSraU-A,,Superficial Keratectomy (SK),"Superficial keratectomy (SK) is the removal of the corneal epithelium down to the level of Bowman membrane.  In this case, it was performed to remove an area of central reduplicated epithelial basement membrane causing irregular astigmatism in a patient with epithelial basement membrane dystrophy (EBMD).  The areas of involvement can be visualized as more firmly adherent regions centrally and paracentrally during the procedure.",Ophthalmology,Medicine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOeaT9YgcB0,,EDTA chelation for band keratopathy,Manual superficial keratectomy using ethylenediaminetetraacetic acid (EDTA) chelation for calcific band keratopathy (BK).,Band Keratopathy,Chelation,Health Care (Industry),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qQSgYs0mods,,ab interno bleb revision unedited Grover 2019,Another unedited video demonstrating the ab interno bleb revision technique with the Grover Fellman Spatula.  See our publication in JOG for full details of technique.  Note that one should be relatively aggressive when dissecting posteriorly.  I leave viscoelastic in the anterior to protect against immediate hypotony.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rloP5sAVxhw,,ab interno bleb revision 2019 Grover Smth,Unedited video of an ab interno bleb revision with the Grover Fellman Spatula.  40 mcg of MMC was injected prior to performing the bleb revision.  Video is not narrated yet.  Patient has done well on all meds and an IOP of 10-12mmHg over 6 months out.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hR5Fc2SobkA,,Cryotherapy for papillae in VKC,"What are the options for management of giant refractory papillae in Vernal keratoconjunctivitis (VKC)? Of the several options, one is cryotherapy. This video highlights the technique and post cryo care before moving on to surgical options.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T5unJWYdbno,,Acute Ocular Lime (chuna) Injury-AlloSLET,Grade 6 chemical injury [E6-P0/I0/X0] in a 5 year old child presented on Day 6 post injury underwent removal of lime deposits from the superior fornix and palpebral surface along with alloSLET. alloSLET is a procedure done in severe grade chemical injuries to facilitate faster epithelisation of the ocular surface.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1zQlnLdH97w,,MMG for SJS,Step by step descriptive video of mucus membrane grafting for lid margin keratinization in SJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSQsbm3gWIA,,BOSTON TYPE 2 KPRO,Video highlighting the surgical technique of Boston type 2 kpro in end stage SJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iTTWh1mk4PY,,MMG for LMK in SJS,This video is about MMG for LMK in SJS,iMovie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OjUH5M7deDE,,MMG in SJS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90P-P3LR-pI,,MMG,"Mucus membrane grafting for lid margin keratinization in Stevens Johnson Syndrome. Reduces blink induced microtrauma to the ocular surface,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6QBZftXUO9c,,MMG for lid margin keratinization in SJS,I created this video with the YouTube Video Editor (http://www.youtube.com/editor),YouTube Editor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crTbTP7kSKQ,,SLET in LSCD,This is the video of Simple limbal epithelial cell transplant (SLET) done in a case of total limbal stem cell deficiency after chemical injury.,LSCD,SLET,Limbal stem cell deficiency,Stem cell transplant,Cornea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g_hKQk1hQ7k,,'Geeta Saar' by Aarav,Aarav's (My 6 years old son) rehearsal for 'story Telling competition' for Class 1 at school. He is telling story of Krishna and Arjun from Mahabharata. He learnt sanskrit sholkas like 'yada yada hi dharmasya' and ' karmaney wadikar' for this. Enjoyed teaching and hearing him.,Krishna,Arjun,Story,Mahabharata,Yadayada,Karmaney,Sanskrit,School,Children,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VnGt7d8ZI_o,,Cyanoacrylate Glue for Corneal Perforations,Present video demonstrate the technique of tissue adhesive (cyanoacrylate glue) application for corneal perforations.,Corneal,Perforations;,Cyanoacrylate,glue;,perforated,corneal,ulcer;,infections;,TA,BCL;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eiVvmBMvPFo,,Iridocyclectomy,In this video we are performing an iridocyclectomy to remove an iris melanoma.,Melanoma (Disease Or Medical Condition),iris tumor,iris reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPGH3uw7OqM,,Verisyse Toric Implantation,,Verisyse,Aphakic,Implantation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L8AuDOY1qY0,,Verisyse Surgery Animation,,SurgeryAnimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wdlXEI69mUc,,Implantation of Verisyse Retropupillary,,AphakicVerisyseMohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DgHJ0ImxdIg,,Loading AMO Tecnis ZA9003 and AR40e, ,Loading,AMO,Tecnis,ZA9003,and,AR40e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOWUP0NxMXs,,Unmet Needs In Clinical Trial Design (in Interventional Glaucoma) 2022,"Summary:
-Patient outcomes should drive reporting, analysis, and interpretation
-Need to deemphasize complicated statistical analysis masquerading as clinical significance
-Observational studies for exploration
-RCTs for efficacy: interventional arm for approval, comparison for clinical decision making and reimbursement
-Big data observational for safety w/ careful reporting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bPZHZHIA4GI,,Ahmed valve / donor sclera swap in the superotemporal quadrant,"Difficult situation in a young gentleman with a decompensated cornea and elevated IOP, who underwent an urgent Ahmed valve with donor sclera. The plate subsequently exposed, and primary closure of this area was unsuccessful. The patient was quite reluctant to have an inferior tube shunt. We went ahead with tube explantation, and swapped for a new tube in the same quadrant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xl8yvomsg-4,,NGENUITY 3-D 1st experience,"This video was shot during my 1st case using the NGENUITY 3-D system.  Of course it is a little bit different to look at a screen in front of you then through a microscope, though it is fantastic for ergonomics and ensuring the team can follow along through the case. Disclosure: previous consultant to Alcon though not related to NGENUITY.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IQblRkOfg8s,,Bird's eye view of intraocular angle surgery (ABiC),"GoPro mount on ceiling (kudos to Dr. Ike Ahmed)
Burst mode, activated by GoPro app
Check Ergonomics, movement of the eye care team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cta-E1bTRTM,,Arka Polar katarakt+posteriorkaps¨¹loreksis,,arka polar katarakt,posterior copsulorexis,?ol implantasyonu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V5H44O9K9cI,,"Lasek Wavefont , Op Dr  ?brahim TA?KIN, ADANA MAYA G?Z",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S6lAsT_b1dA,,"Keratokonus, Korneal ring, op Dr  ?brahim TA?KIN, ADANA MAYA G?Z",,Keratokonus tedavisi,Keratokonus,Korneal ring,op Dr ?brahim TA?KIN,ADANA MAYA G?Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M49RX1gzEzQ,,"Suturless pterygium surgeyi, auto concunctival graft, Op.Dr.?brahim TA?KIN, ADANA MAYA G?Z.mpg",,Suturless pterygium surgeyi,Fibrin glue,auto concunctival graft,Op.Dr.?brahim TA?KIN,ADANA MAYA G?Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PG5CZCFdR6U,,"Suturless pterygium surgeyi, Op.Dr.?brahim TA?KIN,ADANA MAYA G?Z.mpg",,Suturless pterygium surgeyi,Op.Dr.?brahim TA?KIN,ADANA MAYA G?Z,pterjium ameliyat?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zGUxNFppnl0,,"sutursuz Pterjium ameliyat?, Op.Dr.?brahim TA?KIN, ADANA MAYA G?Z.mpg",,Op.Dr.?brahim TA?KIN,ADANA MAYA G?Z,Fibrin yap??t?r?c?s?,sututsuz Pterjium ameliyat?,pterjium ameliyat?,Pterjium tedavisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k-kEJuZjNtw,,"Aphakic ?ris claw posterior chamber IOL+Pupilloplasti, Op Dr ?brahim Ta?k?n, ADANA MAYA GOZ", ,Aphakic ?ris claw posterior chamber IOL+Pupilloplasti,Op Dr ?brahim Ta?k?n,ADANA MAYA GOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G76_GXQPIcE,,"Mitomicinli +ayarlanabilir sutur+trabek¨¹lektomi, Op Dr  ?brahim TA?KIN, Adana MAYA G?Z", ,Op.Dr. ?brahim TA?KIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ccNy6Ngwvu0,,"Ayarlanabilir suturlu trabek¨¹lektomi. Op.Dr.?brahim TA?KIN,  Adana MAYA G?Z. mpg", ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jZ5Catkiw90,,"Mitomicinli trabek¨¹lektomi,Op Dr ?brahim TA?KIN, Adana MAYA G?Z", ,Mitomicinli,Adana,MAYA,G?Z.mpg,Op Dr ?brahim TA?KIN,Trabek¨¹lektomi,Mitomicin,?brahim Ta?k?n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hkcRgWugmcU,,"Anterior capsule rupture  argentina flag  and FAKO+IOL DR  ?brahim TA?KIN, ADANA MAYA G?Z", ,ADANA MAYA G?Z.mpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8bMQcN-kXd8,,POAG Canaloplasty,"Brian Francis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y_p5_P35Pxk,,Haptic Cutting,"Brian Francis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FVuBQI3OWeg,,Endoscopic Cyclitic Membrane Removal,"Brian Francis, MD
Gad Heilweil, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9KjoO6NfuMM,,Endoscopic IOFB Removal,"Brian Francis, MD
Gad Heilweil, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KgudWIYrVvs,,Ocular Surface Injury,"Brian Francis, MD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eCAZMJ48Z_c,,Before and Aftercare For Your Eye Surgery - MU Health Care,"Everything you need to know before and after your eye surgery at Mason Eye Institute, University of Missouri / MU Health Care.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LqREKCUc2sE,,Limbal Dermoid of a 5 Year Old Child,"The five-year-old child presented with a limbal dermoid. Ablation of the dermoid was performed, and the defect was lined with Amion. The conjunctiva was sutured, leaving a delicate corneal opacity that eventually dissolved. 
Limbal dermoids are benign tumors that can cause astigmatism and affect visual acuity. Surgical removal of the dermoid is recommended to prevent visual impairment and discomfort. Ablation of the dermoid flat and lining the defect with AM is a safe and effective method of treatment. AM has been shown to have anti-inflammatory, anti-scarring, and wound-healing properties, making it an ideal material for ocular surface reconstruction.
Watch our YouTube video for more information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFX9jdaMuPg,,Giant Subretinal Strand Removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73YTg9uvMs0,,Indentation with localization and light guide,Indentation with localization and light guide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SH8xifoglj0,,Intraretinal PVR,"Intraretinal PVR cannot be separated. If the retina can be placed tension-free, the treatment is performed with circumscribed endolaser coagulation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ONKIds8eWTA,,Progressive Retinoschisis,Progressive Retinoschisis mit Retinotomie zur Netzhautanlage.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1QO56lbP0zo,,Perforating eye injury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME?,,PDR with traction on the macula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5wIPZ6-mxV4,,Induction of posterior vitreous detachment with tryphan blue and triamcinolone.,"Induction of posterior vitreous detachment is a key element of vitrectomy. In this video, the technique is demonstrated with triamcinolone and tryphan blue.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr05eHfobeo,,Iris Biopsy,"This patient presented with elevated intraocular pressures and an inferior iris  lesion. On UBM, the ciliary body was infiltrated over 360 degrees. A tissue sample was required to confirm the presumed melanoma diagnosis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yvyKeb9DmAs,,Aniridia in pseudophakia treatment,Human Optics Iris Prosthesis used to fix traumatic aniridia in a pseudophakic patient.,Aniridia,Pseudophakia,Iris,Prosthesis,Human Optics,Goretex,Pseudofaquia,Pr¨®tesis,Diego Ruiz Casas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
umdHT8IniB0,,AntiVGEF (Lucentis) injection in ROP,ROP treatment with antiVGEF injection,ROP,Prematurity,Retinopathy,Premature,Newborn,antiVGEF,Lucentis,injection,inyecci¨®n,prematuro,retinopat¨ªa,prematuridad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bSBQOgMjLvA,,Geuder F4H5 Washout / Emulsified silicone oil removal,"Patient with persistent emulsified SO after ROSO (with ten FAX-AFX exchanges).
Emulsified SO was removed using the new F4H5 washout",F4H5,Geuder,Washout,Silicone Oil,Emulsification,Lavado,Aceite de silicona,emulsificaci¨®n,Diego Ruiz Casas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CZAn9o62FO4,,Silicon oil removal Oxane 5700 Lukan Mishev Live Stream,Ophthalmic surgery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xHQowcjqQpw,,13.9 How to place an encircling band (cerclage),"The encircling band is getting more and more seldom. It is quite simple to place an encircling and but some tipps and tricks may be useful.
This video is for my book:
Spandau, Heimann: Practical handbook for small gauge vitrectomy. 2nd Edition",cerclage,encircling band,Ulrich Spandau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uI_qM0tnsZ8,,15.1 Diabetic retinopathy for dummies,"This video shows with drawings the surgical management of a proliferative diabetic retinopathy.
This video is for my book:
Spandau, Heimann: Practical handbook for small gauge vitrectomy. 2nd Edition",proliferative diabetic retinopathy,diabetic retinopathy,diabetic retinopathy for dummies,Ulrich Spandau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCX4l_s3kAI,,Large Submacular Haemorrhage - Dr Manish Nagpal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1c7usPMak_4,,Differentiating Coats Disease from Retinoblastoma,,Retinoblastoma (Disease Or Medical Condition),Medicine (Field Of Study),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeQeYVJZ2gE,,Confidence interval example | Inferential statistics | Probability and Statistics | Khan Academy,"Courses on Khan Academy are always 100% free. Start practicing¡ªand saving your progress¡ªnow:  https://www.khanacademy.org/math/statistics-probability/confidence-intervals-one-sample/estimating-population-proportion/v/confidence-interval-example

Confidence Interval Example

Watch the next lesson: https://www.khanacademy.org/math/probability/statistics-inferential/confidence-intervals/v/small-sample-size-confidence-intervals?utm_source=YT&utm_medium=Desc&utm_campaign=ProbabilityandStatistics

Missed the previous lesson? 
https://www.khanacademy.org/math/probability/statistics-inferential/confidence-intervals/v/confidence-interval-1?utm_source=YT&utm_medium=Desc&utm_campaign=ProbabilityandStatistics

Probability and statistics on Khan Academy: We dare you to go through a day in which you never consider or use probability. Did you check the weather forecast? Busted! Did you decide to go through the drive through lane vs walk in? Busted again! We are constantly creating hypotheses, making predictions, testing, and analyzing. Our lives are full of probabilities! Statistics is related to probability because much of the data we use when determining probable outcomes comes from our understanding of statistics. In these tutorials, we will cover a range of topics, some which include: independent events, dependent probability, combinatorics, hypothesis testing, descriptive statistics, random variables, probability distributions, regression, and inferential statistics. So buckle up and hop on for a wild ride. We bet you're going to be challenged AND love it!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to KhanAcademy¡¯s Probability and Statistics channel:
https://www.youtube.com/channel/UCRXuOXLW3LcQLWvxbZiIZ0w?sub_confirmation=1
Subscribe to KhanAcademy: https://www.youtube.com/subscription_center?add_user=khanacademy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eU8ib1epltE,,PFCL x silicone oil exchange for dummies,This video shows very short and in detail the exchange of PFCL against silicone oil.,PFCL x silicone oil exchange for dummies,PFCL x silicone oil exchange,PFCL x silicone oil,Ulrich Spandau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6uIdtoasZVI,,L'indentation dans le DR,Un film de 70 minutes sur les r?les et techniques de l'indentation par Didier Ducournau (1998),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uEYiwhelnEw,,Cirug¨ªa retinosquisis mi¨®pica (Dr. Bueno Palac¨ªn),"Cirug¨ªa retiniana. Retinosquisis mi¨®pica con Triamcinolona y Brilliant Blue. Cirug¨ªa realizada por el Dr. Bueno Palac¨ªn en el Instituto de Oftalmolog¨ªa Avanzada de Madrid.

Visita nuestra web: http://ioamadrid.com",retinosquisis,miopica,dr. bueno,vitreo,retina,miop¨ªa brilliant,peel,hialoides,limitante interna,cirug¨ªa retina,bueno palac¨ªn,IOA2011,dr bueno palacin,retinosquisis miopica,retinosquisis mi¨®pica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHkLkLnfVI0,,20.1 Macular translocation,"Macular translocation secondary to CNV.
This video is for my book:
Spandau, Heimann: Practical handbook for small gauge vitrectomy. 2nd Edition",Macula,Translocation,retina,surgery,Vitreoretinal,Ulrich Spandau,Zoran TOmic,Tomic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xHQowcjqQpw,,13.9 How to place an encircling band (cerclage),"The encircling band is getting more and more seldom. It is quite simple to place an encircling and but some tipps and tricks may be useful.
This video is for my book:
Spandau, Heimann: Practical handbook for small gauge vitrectomy. 2nd Edition",cerclage,encircling band,Ulrich Spandau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51Rssm8dwGo,,Vitrectomia para tratamiento de agujero macular.,"Vitrectomia para tratamiento de agujero macular, realizando remocion de la membrana limitante interna utilizando azul brillante como tincion.

Dr. Gerardo Garcia-Aguirre, Asociacion para Evitar la Ceguera en Mexico, Mexico, DF.
http://www.retinacdmx.com",Retina,vitreo,cirugia vitreorretiniana,oftalmologia,agujero macular,azul brillante,hialoides.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sYfQTeu7zxQ,,Imprimatura de lienzo para pintar con ¨®leo o acr¨ªlico. Gesso. Curso de pintura.,"Curso de pintura en l¨ªnea:
https://cesarcordova.com/clases.html",curso de pintura al oleo,como pintar al oleo,como preparar una tela,como preparar un lienzo,tela,lienzo,imprimar,imprimatura,oleo,clase,arte,gesso,sellar,imprimaci¨®n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U5S8fIw-XUc,,"""Painting Ethnic Fleshtones"", #10 in the Illuminations! Series by Johnnie Liliedahl","Buy now: https://lilipubsorders.com/products/johnnie-liliedahl-painting-ethnic-fleshtones

Click to download or request a free catalog: https://lilipubsorders.com/pages/catalog-request

This is a short preview of the 10th instructional video in Johnnie's Illuminations! Series.  It demonstrates how to paint dramatically different flesh colors using the same palette of colors.  These portraits were painted from life, in one of Johnnie's workshops, and is not to be missed if you paint portraits.",liliedahl,johnnie liliedahl,painting ethnic fleshtones,oil painting,portrait,portraits,drawing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZQx4aCfmSvM,,C¨®MO HACER COLOR PIEL CON ¨®LEO | Mezcla de colores para retrato,"C¨®mo hacer color piel con ¨®leo, utilizando una paleta limitada.

Hola muy buenas! 
Hoy quiero explicar la paleta limitada y como usarla para hacer con ella el color de la piel o colores carne.

Esta paleta se compone de:

Blanco Titanio: 
https://amzn.to/2GXWZOR

Ocre dorado: 
https://amzn.to/2TdvCGO

Bermell¨®n: 
https://amzn.to/2SGTH3D

Azul cobalto: 
https://amzn.to/2UkKAHN

Negro marfil: 
https://amzn.to/2Tl7uCb

Muchas gracias por ver el video!

Si te ha gustado dale like y suscr¨ªbete!!!

Mi instagram ¡ý¡ý¡ý

@gerardmillet13",colores piel,como hacer color piel,color piel,pintura al oleo,colores para hacer un retrato,color carne,como hacer color carne,como mezclar colores,color,arte,tutorial oleo,curso de pintura al oleo,gerard millet,pintura,como pintar al oleo,como mezclar colores carne,colores carne,flesh colors,skin color,hacer colores para figura humana,hacer colores para pintar carne,como mezclar colores piel,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gv8FoglaQuA,,FREE! Full video "surf" painter Igor Sakharov,"Igor Sakharov, one of the most famous and talented contemporary artists. Russian Bob Ross. 
§¯is video tutorials reveals the tricks of the trade painter in an accessible format for a beginner.
Under his guidance, you will be able to draw any picture.

Painter Igor Sakharov provides training in Moscow, St. Petersburg, Kiev, as well as seminars and webinars.
To record to a master class of Igor Sakharov, call +38-099-478-48-23

Order a version translated to your language by phone: +38-099-478-48-23",speed,painting,palette,knife,creative,art,lessons,new,full,tutorial,bob ross,painter,artist,creation,photoshop,style,decor,paint,design,hand,made,How,to,make,school,of,studio,Igor,drawing,draw,spatula,master,Class,teacher,how,free,version,saharov,Sakharov,video,online,shop,portrait,watercolor,technicues,acrylic,oil,,
UDEtwoajHIc,,Las te?cnicas ma?s comunes del o?leo,"Hoy os quiero hablar de las t¨¦cnicas m¨¢s usuales con el ¨®leo. T¨¦cnicas en funci¨®n de las sesiones que necesitamos para la realizaci¨®n de la obra; t¨¦cnicas en funci¨®n de los efectos visuales que podemos obtener y t¨¦cnicas para conseguir diferentes texturas.
Son solo algunas de ellas pero para el aficionado a la pintura que se est¨¢ iniciando en esto, creo que son las m¨¢s interesantes y que m¨¢s les pudiera resultar ¨²tiles de conocer.

Visita mi Blog:
https://www.hangel.es/",hangel,montero,hangel montero,tecnicas,oleo,pintura,tecnicas del oleo,tecnica del oleo,aprender a pintar,acrilico,acuarela,dibujo,profesor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nQQIVXjTS60,,Basic Proportion and Gesture for Head Drawing.,"Video tutorial for Portrait drawing.  A demo by artist-educator, Zin Lim shows how to draw human heads in the art of charcoal drawing. This video shows the basic proportion of the human head and how to use it on various angles of head gestures. 
- Full HD Video.
- Medium: HB charcoal pencil on Paper.


LEARN MORE FROM-

[LECTURE NOTE]
Learn lecture notes Zin Lim use at his workshops!
Expressive Portrait Workshop's all lectures, references and demos are included. 
Know more at https://www.zinlim.com/line-intro-e

[MEMBERSHIP]
Become a Channel Member and watch member-only videos.
There are 3 different sites and same benefits.
- YouTube (Channel Member): https://www.youtube.com/channel/UCXLrVStuoz-DlVVwfkoQ4jA/join
- Patreon (Tier 5): https://www.patreon.com/zinlim
- Zin Studio site (More video watcher): https://www.zinlim.com/membership

[WORKSHOP]
Zin is traveling world cities to introduce expressive way of drawing and painting.
If you are interested in joining Zin Studio workshop or to track where our workshops go, see our upcoming workshop schedule at www.zinlim.com/class
?
[ARTWORK SALE]
Interested in purchasing original works shown on this channel? Visit our gallery at https://www.zinlim.com/original or email inquiry to info@zinlim.com",expressive,head,portrait,charcoal,drawing,instruction,demo,demonstration,crossover,hybrid,figure,art,fine art,proportion,gesture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
